stage,group,cell_id,episode_id,seed,opponent,config_json,starting_money,final_money,profit,revenue_total,cost_seed,cost_hire,cost_land,cost_animal,cost_buy_wheat,cost_buy_fertilizer,cost_other,harvest_units_json,animal_units_json,sold_units_total,avg_realized_price_overall,hands_hired_events,land_quadrants_end,productive_action_rate,movement_fraction,market_action_fraction,win,money_margin,validation_overall,inventory_overflow_flag
D,d1_inventory_holding,d1_threshold_1.0_safetyoff,d1_threshold_1.0_safetyoff_seed200202,200202,pass,"{""animal_buy_day"": 0, ""animals"": {""COW"": 1, ""GOOSE"": 1}, ""crops"": {""MELON"": 0.5, ""STRAWBERRY"": 0.5}, ""land_buy_day"": 0, ""land_quadrants"": 1, ""n_hands"": 4, ""sell_policy"": {""mode"": ""threshold"", ""overflow_safety"": false, ""threshold_frac"": 1.0}}",3000.0,13581.0,10581.0,21780.3171,7560,153,1000,1700,786.3171,0,0.0,"{""STRAWBERRY"": 64, ""MELON"": 110}","{""COW"": 10, ""GOOSE"": 5}",108,201.6696,89,2,0.9157,0.5772,0.3469,1,10581.0,PASS,0
D,d1_inventory_holding,d1_threshold_1.0_safetyoff,d1_threshold_1.0_safetyoff_seed200203,200203,pass,"{""animal_buy_day"": 0, ""animals"": {""COW"": 1, ""GOOSE"": 1}, ""crops"": {""MELON"": 0.5, ""STRAWBERRY"": 0.5}, ""land_buy_day"": 0, ""land_quadrants"": 1, ""n_hands"": 4, ""sell_policy"": {""mode"": ""threshold"", ""overflow_safety"": false, ""threshold_frac"": 1.0}}",3000.0,31137.0,28137.0,40232.1276,7760,153,1000,2100,1082.1275,0,0.0,"{""STRAWBERRY"": 62, ""MELON"": 114}","{""COW"": 9, ""GOOSE"": 11}",169,238.0599,89,2,0.9398,0.5893,0.3476,1,28137.0,PARTIAL,0
D,d1_inventory_holding,d1_threshold_1.0_safetyoff,d1_threshold_1.0_safetyoff_seed200204,200204,pass,"{""animal_buy_day"": 0, ""animals"": {""COW"": 1, ""GOOSE"": 1}, ""crops"": {""MELON"": 0.5, ""STRAWBERRY"": 0.5}, ""land_buy_day"": 0, ""land_quadrants"": 1, ""n_hands"": 4, ""sell_policy"": {""mode"": ""threshold"", ""overflow_safety"": false, ""threshold_frac"": 1.0}}",3000.0,24430.0,21430.0,32982.0032,7580,153,1000,1800,1019.0032,0,0.0,"{""STRAWBERRY"": 61, ""MELON"": 114}","{""COW"": 8, ""GOOSE"": 20}",146,225.9041,89,2,0.9383,0.5842,0.3501,1,21430.0,PASS,0
D,d1_inventory_holding,d1_threshold_1.0_safetyoff,d1_threshold_1.0_safetyoff_seed200205,200205,pass,"{""animal_buy_day"": 0, ""animals"": {""COW"": 1, ""GOOSE"": 1}, ""crops"": {""MELON"": 0.5, ""STRAWBERRY"": 0.5}, ""land_buy_day"": 0, ""land_quadrants"": 1, ""n_hands"": 4, ""sell_policy"": {""mode"": ""threshold"", ""overflow_safety"": false, ""threshold_frac"": 1.0}}",3000.0,23944.0,20944.0,32363.8625,7340,153,1000,1800,1126.8626,0,0.0,"{""STRAWBERRY"": 57, ""MELON"": 115}","{""COW"": 8, ""GOOSE"": 20}",144,224.749,89,2,0.9409,0.5941,0.3458,1,20944.0,PARTIAL,0
D,d1_inventory_holding,d1_threshold_1.0_safetyoff,d1_threshold_1.0_safetyoff_seed200206,200206,pass,"{""animal_buy_day"": 0, ""animals"": {""COW"": 1, ""GOOSE"": 1}, ""crops"": {""MELON"": 0.5, ""STRAWBERRY"": 0.5}, ""land_buy_day"": 0, ""land_quadrants"": 1, ""n_hands"": 4, ""sell_policy"": {""mode"": ""threshold"", ""overflow_safety"": false, ""threshold_frac"": 1.0}}",3000.0,16499.0,13499.0,26269.651,8240,150,1000,2400,980.651,0,0.0,"{""STRAWBERRY"": 56, ""MELON"": 115}","{""COW"": 9, ""GOOSE"": 9}",117,224.5269,88,2,0.9341,0.5752,0.3597,1,13499.0,PASS,0
D,d1_inventory_holding,d1_threshold_1.0_safetyoff,d1_threshold_1.0_safetyoff_seed200207,200207,pass,"{""animal_buy_day"": 0, ""animals"": {""COW"": 1, ""GOOSE"": 1}, ""crops"": {""MELON"": 0.5, ""STRAWBERRY"": 0.5}, ""land_buy_day"": 0, ""land_quadrants"": 1, ""n_hands"": 4, ""sell_policy"": {""mode"": ""threshold"", ""overflow_safety"": false, ""threshold_frac"": 1.0}}",3000.0,21358.0,18358.0,30393.0786,7940,150,1000,2100,845.0786,0,0.0,"{""STRAWBERRY"": 54, ""MELON"": 115}","{""COW"": 9, ""GOOSE"": 9}",136,223.4785,88,2,0.9337,0.5914,0.3581,1,18358.0,PASS,0
D,d1_inventory_holding,d1_threshold_1.3_safetyon,d1_threshold_1.3_safetyon_seed200200,200200,pass,"{""animal_buy_day"": 0, ""animals"": {""COW"": 1, ""GOOSE"": 1}, ""crops"": {""MELON"": 0.5, ""STRAWBERRY"": 0.5}, ""land_buy_day"": 0, ""land_quadrants"": 1, ""n_hands"": 4, ""sell_policy"": {""mode"": ""threshold"", ""overflow_safety"": true, ""threshold_frac"": 1.3}}",3000.0,29783.0,26783.0,38140.7062,7340,153,1000,1800,1064.7062,0,0.0,"{""STRAWBERRY"": 57, ""MELON"": 115}","{""COW"": 8, ""GOOSE"": 20}",194,196.6016,89,2,0.9435,0.5962,0.3422,1,26783.0,PASS,0
D,d1_inventory_holding,d1_threshold_1.3_safetyon,d1_threshold_1.3_safetyon_seed200201,200201,pass,"{""animal_buy_day"": 0, ""animals"": {""COW"": 1, ""GOOSE"": 1}, ""crops"": {""MELON"": 0.5, ""STRAWBERRY"": 0.5}, ""land_buy_day"": 0, ""land_quadrants"": 1, ""n_hands"": 4, ""sell_policy"": {""mode"": ""threshold"", ""overflow_safety"": true, ""threshold_frac"": 1.3}}",3000.0,24300.0,21300.0,34399.4088,8340,153,1000,2800,806.4088,0,0.0,"{""STRAWBERRY"": 55, ""MELON"": 115}","{""COW"": 0, ""GOOSE"": 8}",167,205.9845,89,2,0.9358,0.5927,0.3428,1,21300.0,PASS,0
D,d1_inventory_holding,d1_threshold_1.3_safetyon,d1_threshold_1.3_safetyon_seed200202,200202,pass,"{""animal_buy_day"": 0, ""animals"": {""COW"": 1, ""GOOSE"": 1}, ""crops"": {""MELON"": 0.5, ""STRAWBERRY"": 0.5}, ""land_buy_day"": 0, ""land_quadrants"": 1, ""n_hands"": 4, ""sell_policy"": {""mode"": ""threshold"", ""overflow_safety"": true, ""threshold_frac"": 1.3}}",3000.0,22964.0,19964.0,31833.7442,8000,146,1000,2100,623.7442,0,0.0,"{""STRAWBERRY"": 59, ""MELON"": 114}","{""COW"": 1, ""GOOSE"": 8}",146,218.0393,85,2,0.9194,0.585,0.4219,1,19964.0,PASS,0
D,d1_inventory_holding,d1_threshold_1.3_safetyon,d1_threshold_1.3_safetyon_seed200203,200203,pass,"{""animal_buy_day"": 0, ""animals"": {""COW"": 1, ""GOOSE"": 1}, ""crops"": {""MELON"": 0.5, ""STRAWBERRY"": 0.5}, ""land_buy_day"": 0, ""land_quadrants"": 1, ""n_hands"": 4, ""sell_policy"": {""mode"": ""threshold"", ""overflow_safety"": true, ""threshold_frac"": 1.3}}",3000.0,29074.0,26074.0,38173.5279,7760,153,1000,2100,1086.5278,0,0.0,"{""STRAWBERRY"": 62, ""MELON"": 114}","{""COW"": 9, ""GOOSE"": 11}",159,240.0851,89,2,0.9398,0.5893,0.3469,1,26074.0,PARTIAL,0
D,d1_inventory_holding,d1_threshold_1.3_safetyon,d1_threshold_1.3_safetyon_seed200204,200204,pass,"{""animal_buy_day"": 0, ""animals"": {""COW"": 1, ""GOOSE"": 1}, ""crops"": {""MELON"": 0.5, ""STRAWBERRY"": 0.5}, ""land_buy_day"": 0, ""land_quadrants"": 1, ""n_hands"": 4, ""sell_policy"": {""mode"": ""threshold"", ""overflow_safety"": true, ""threshold_frac"": 1.3}}",3000.0,26516.0,23516.0,35074.9126,7580,153,1000,1800,1025.9126,0,0.0,"{""STRAWBERRY"": 61, ""MELON"": 114}","{""COW"": 8, ""GOOSE"": 20}",150,233.8328,89,2,0.9383,0.5842,0.3451,1,23516.0,PASS,0
D,d1_inventory_holding,d1_threshold_1.3_safetyon,d1_threshold_1.3_safetyon_seed200205,200205,pass,"{""animal_buy_day"": 0, ""animals"": {""COW"": 1, ""GOOSE"": 1}, ""crops"": {""MELON"": 0.5, ""STRAWBERRY"": 0.5}, ""land_buy_day"": 0, ""land_quadrants"": 1, ""n_hands"": 4, ""sell_policy"": {""mode"": ""threshold"", ""overflow_safety"": true, ""threshold_frac"": 1.3}}",3000.0,27064.0,24064.0,35486.6835,7340,153,1000,1800,1129.6834,0,0.0,"{""STRAWBERRY"": 57, ""MELON"": 115}","{""COW"": 8, ""GOOSE"": 20}",152,233.465,89,2,0.9409,0.5941,0.3403,1,24064.0,PARTIAL,0
